y,year,month,quarter,target
112,1949,1,1,1
118,1949,2,1,1
132,1949,3,1,0
129,1949,4,2,0
121,1949,5,2,1
135,1949,6,2,1
148,1949,7,3,0
148,1949,8,3,0
136,1949,9,3,0
119,1949,10,4,0
104,1949,11,4,1
118,1949,12,4,0
115,1950,1,1,1
126,1950,2,1,1
141,1950,3,1,0
135,1950,4,2,0
125,1950,5,2,1
149,1950,6,2,1
170,1950,7,3,0
170,1950,8,3,0
158,1950,9,3,0
133,1950,10,4,0
114,1950,11,4,1
140,1950,12,4,1
145,1951,1,1,1
150,1951,2,1,1
178,1951,3,1,0
163,1951,4,2,1
172,1951,5,2,1
178,1951,6,2,1
199,1951,7,3,0
199,1951,8,3,0
184,1951,9,3,0
162,1951,10,4,0
146,1951,11,4,1
166,1951,12,4,1
171,1952,1,1,1
180,1952,2,1,1
193,1952,3,1,0
181,1952,4,2,1
183,1952,5,2,1
218,1952,6,2,1
230,1952,7,3,1
242,1952,8,3,0
209,1952,9,3,0
191,1952,10,4,0
172,1952,11,4,1
194,1952,12,4,1
196,1953,1,1,0
196,1953,2,1,1
236,1953,3,1,0
235,1953,4,2,0
229,1953,5,2,1
243,1953,6,2,1
264,1953,7,3,1
272,1953,8,3,0
237,1953,9,3,0
211,1953,10,4,0
180,1953,11,4,1
201,1953,12,4,1
204,1954,1,1,0
188,1954,2,1,1
235,1954,3,1,0
227,1954,4,2,1
234,1954,5,2,1
264,1954,6,2,1
302,1954,7,3,0
293,1954,8,3,0
259,1954,9,3,0
229,1954,10,4,0
203,1954,11,4,1
229,1954,12,4,1
242,1955,1,1,0
233,1955,2,1,1
267,1955,3,1,1
269,1955,4,2,1
270,1955,5,2,1
315,1955,6,2,1
364,1955,7,3,0
347,1955,8,3,0
312,1955,9,3,0
274,1955,10,4,0
237,1955,11,4,1
278,1955,12,4,1
284,1956,1,1,0
277,1956,2,1,1
317,1956,3,1,0
313,1956,4,2,1
318,1956,5,2,1
374,1956,6,2,1
413,1956,7,3,0
405,1956,8,3,0
355,1956,9,3,0
306,1956,10,4,0
271,1956,11,4,1
306,1956,12,4,1
315,1957,1,1,0
301,1957,2,1,1
356,1957,3,1,0
348,1957,4,2,1
